activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,105855,[],CHEMBL658311,Transcriptional agonist activity in Chinese hamster ovary cells expressing human Estrogen Receptor alpha,F,,,BAO_0000188,BAO_0000219,cell-based format,Oc1ccc(-c2cc(-c3ccc(O)cc3)cc(-c3ccc(O)cc3)c2)cc1,,,CHEMBL1145862,J. Med. Chem.,2003.0,,CHEMBL117286,,CHEMBL117286,7.10,False,http://www.openphacts.org/units/Nanomolar,218835,=,1,True,=,,EC50,nM,,80.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,uM,UO_0000065,,0.08
,117319,[],CHEMBL658311,Transcriptional agonist activity in Chinese hamster ovary cells expressing human Estrogen Receptor alpha,F,,,BAO_0000188,BAO_0000219,cell-based format,COc1ccc(-c2cccc(-c3ccc(OC)cc3)c2)cc1,,,CHEMBL1145862,J. Med. Chem.,2003.0,,CHEMBL66511,,CHEMBL66511,,False,http://www.openphacts.org/units/Nanomolar,218839,>,1,True,>,,EC50,nM,,10000.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,uM,UO_0000065,,10.0
,128530,[],CHEMBL658311,Transcriptional agonist activity in Chinese hamster ovary cells expressing human Estrogen Receptor alpha,F,,,BAO_0000188,BAO_0000219,cell-based format,Oc1ccc(-c2cccc(-c3ccc(O)cc3)c2)cc1,,,CHEMBL1145862,J. Med. Chem.,2003.0,,CHEMBL66279,,CHEMBL66279,6.10,False,http://www.openphacts.org/units/Nanomolar,218837,=,1,True,=,,EC50,nM,,800.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,uM,UO_0000065,,0.8
,134894,[],CHEMBL658311,Transcriptional agonist activity in Chinese hamster ovary cells expressing human Estrogen Receptor alpha,F,,,BAO_0000188,BAO_0000219,cell-based format,Oc1ccc(-c2ccc(-c3ccc(O)cc3)cc2)cc1,,,CHEMBL1145862,J. Med. Chem.,2003.0,,CHEMBL116918,,CHEMBL116918,5.92,False,http://www.openphacts.org/units/Nanomolar,218836,=,1,True,=,,EC50,nM,,1200.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,uM,UO_0000065,,1.2
,140839,[],CHEMBL658311,Transcriptional agonist activity in Chinese hamster ovary cells expressing human Estrogen Receptor alpha,F,,,BAO_0000188,BAO_0000219,cell-based format,CC1C(=O)c2cc(O)ccc2OC1c1ccc(O)cc1,,,CHEMBL1145862,J. Med. Chem.,2003.0,,CHEMBL113704,,CHEMBL113704,8.40,False,http://www.openphacts.org/units/Nanomolar,218838,=,1,True,=,,EC50,nM,,4.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,uM,UO_0000065,,0.004
,143383,[],CHEMBL658311,Transcriptional agonist activity in Chinese hamster ovary cells expressing human Estrogen Receptor alpha,F,,,BAO_0000188,BAO_0000219,cell-based format,COc1ccc(C2Oc3ccc(O)cc3C(=O)C2C)cc1,,,CHEMBL1145862,J. Med. Chem.,2003.0,,CHEMBL114519,,CHEMBL114519,,False,http://www.openphacts.org/units/Nanomolar,218843,>,1,True,>,,EC50,nM,,10000.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,uM,UO_0000065,,10.0
,187477,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,CCc1cc(-c2cc3ccc(O)cc3s2)ccc1O,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '18.97', 'le': '0.37', 'lle': '0.59', 'sei': '12.68'}",CHEMBL31236,,CHEMBL31236,5.13,False,http://www.openphacts.org/units/Nanomolar,45676,=,1,True,=,,EC50,nM,,7440.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,7440.0
,187479,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,CCc1cc(-c2cc3ccc(O)cc3s2)ccc1O,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '24.85', 'le': '0.48', 'lle': '2.18', 'sei': '16.61'}",CHEMBL31236,,CHEMBL31236,6.72,False,http://www.openphacts.org/units/Nanomolar,45676,=,1,True,=,,EC50,nM,,191.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,191.0
,188633,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,Oc1cc(O)c2cc(-c3ccc(O)c(F)c3)sc2c1,,,CHEMBL1135900,J. Med. Chem.,2002.0,,CHEMBL280645,,CHEMBL280645,,False,http://www.openphacts.org/units/Nanomolar,45682,>,1,True,>,,EC50,nM,,10000.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,10000.0
,188635,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,Oc1cc(O)c2cc(-c3ccc(O)c(F)c3)sc2c1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '21.72', 'le': '0.43', 'lle': '2.18', 'sei': '9.89'}",CHEMBL280645,,CHEMBL280645,6.00,False,http://www.openphacts.org/units/Nanomolar,45682,=,1,True,=,,EC50,nM,,1000.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,1000.0
